view,latent_idx,train_r2_score,test_r2_score
current,latent_0,0.6662278215786381,0.6711168127852596
current,latent_1,0.6640009444870896,0.656912735796007
current,latent_2,0.5043252710906784,0.5038547408541669
current,latent_3,0.10064554410519533,0.10524729141826439
current,latent_4,0.4487337387919872,0.44212134840991435
angle_1,latent_0,0.297833747348357,0.3117123140486263
angle_1,latent_1,6.782716048836512e-05,-0.00048015947921409285
angle_1,latent_2,0.0025730500090646036,0.0007427052452038119
angle_1,latent_3,0.997949209740048,0.9979314943940554
angle_1,latent_4,-0.00024697340418233793,-0.0010432841047736119
angle_2,latent_0,0.11398931946215718,0.11393270309738646
angle_2,latent_1,0.4971155031644414,0.49651354460049413
angle_2,latent_2,0.5558039838600298,0.5506720387186994
angle_2,latent_3,0.001576831548980473,0.0008843221091788811
angle_2,latent_4,0.9991590223205548,0.9991507754989944
